,precision,recall,f1-score,support
"```
{
  ""predicted_emotion"": ""joyful"",
  ""reasoning"": ""the utterance 'did he just say \'monica bang\'' is a follow-up to ben geller saying 'monica bang', which monica finds exciting as indicated by her previous reaction 'oh my god! he just said my name!', showing delight in the child's speech development."",
  ""confidence"": 0.8
}
```",0.0,0.0,0.0,0.0
"```
{
  ""predicted_emotion"": ""mad"",
  ""reasoning"": ""the speaker's use of the word 'why' with a questioning tone and the context of her previous frustrated outbursts ('why?! why?!', 'why hasn\'t he called?') indicate annoyance and irritation, which are characteristic of the 'mad' emotion."",
  ""confidence"": 0.8
}
```",0.0,0.0,0.0,0.0
defensive,0.0,0.0,0.0,0.0
joyful,0.5128205128205128,0.5714285714285714,0.5405405405405406,280.0
mad,0.2914798206278027,0.5855855855855856,0.38922155688622756,111.0
neutral,0.432258064516129,0.579250720461095,0.49507389162561577,347.0
peaceful,0.08333333333333333,0.01948051948051948,0.031578947368421054,154.0
powerful,0.2702702702702703,0.07142857142857142,0.11299435028248588,140.0
sad,0.2874251497005988,0.4897959183673469,0.3622641509433962,98.0
scared,0.4925373134328358,0.18333333333333332,0.26720647773279355,180.0
accuracy,0.3969465648854962,0.3969465648854962,0.3969465648854962,0.3969465648854962
macro avg,0.23701244647014827,0.2500303220085023,0.21988799153794805,1310.0
weighted avg,0.37666649185211204,0.3969465648854962,0.35925725517439067,1310.0
