data_split,dialogue_id,original_id,speaker,utterance,emotion,sentiment
train,dailydialog-train-0,train-0,user,"Say, Jim, how about going for a few beers after dinner?",neutral,neutral
train,dailydialog-train-0,train-0,system,You know that is tempting but is really not good for our fitness.,neutral,neutral
train,dailydialog-train-0,train-0,user,What do you mean? It will help us to relax.,neutral,neutral
train,dailydialog-train-0,train-0,system,Do you really think so? I don't. It will just make us fat and act silly. Remember last time?,neutral,neutral
train,dailydialog-train-0,train-0,user,I guess you are right. But what shall we do? I don't feel like sitting at home.,neutral,neutral
train,dailydialog-train-0,train-0,system,I suggest a walk over to the gym where we can play singsong and meet some of our friends.,neutral,neutral
train,dailydialog-train-0,train-0,user,That's a good idea. I hear Mary and Sally often go there to play pingpong. Perhaps we can make a foursome with them.,happiness,positive
train,dailydialog-train-0,train-0,system,"Sounds great to me! If they are willing, we could ask them to go dancing with us. That is excellent exercise and fun, too.",happiness,positive
train,dailydialog-train-0,train-0,user,Good. Let' s go now.,happiness,positive
train,dailydialog-train-0,train-0,system,All right.,happiness,positive
train,dailydialog-train-1,train-1,user,Can you do push-ups?,neutral,neutral
train,dailydialog-train-1,train-1,system,"Of course I can. It's a piece of cake! Believe it or not, I can do 30 push-ups a minute.",neutral,neutral
train,dailydialog-train-1,train-1,user,Really? I think that's impossible!,surprise,positive
train,dailydialog-train-1,train-1,system,You mean 30 push-ups?,neutral,neutral
train,dailydialog-train-1,train-1,user,Yeah!,neutral,neutral
train,dailydialog-train-1,train-1,system,"It's easy. If you do exercise everyday, you can make it, too.",neutral,neutral
train,dailydialog-train-2,train-2,user,Can you study with the radio on?,neutral,neutral
train,dailydialog-train-2,train-2,system,"No, I listen to background music.",neutral,neutral
train,dailydialog-train-2,train-2,user,What is the difference?,neutral,neutral
train,dailydialog-train-2,train-2,system,The radio has too many comerials.,neutral,neutral
train,dailydialog-train-2,train-2,user,"That's true, but then you have to buy a record player.",neutral,neutral
train,dailydialog-train-3,train-3,user,Are you all right?,neutral,neutral
train,dailydialog-train-3,train-3,system,I will be all right soon. I was terrified when I watched them fall from the wire.,neutral,neutral
train,dailydialog-train-3,train-3,user,Don't worry. He is an acrobat 。,neutral,neutral
train,dailydialog-train-3,train-3,system,I see.,neutral,neutral
train,dailydialog-train-4,train-4,user,"Hey John, nice skates. Are they new?",neutral,neutral
train,dailydialog-train-4,train-4,system,"Yeah, I just got them. I started playing ice hockey in a community league. So, I finally got myself new skates.",neutral,neutral
train,dailydialog-train-4,train-4,user,What position do you play?,neutral,neutral
train,dailydialog-train-4,train-4,system,I'm a defender. It's a lot of fun. You don't have to be able to skate as fast on defense.,neutral,neutral
train,dailydialog-train-4,train-4,user,"Yeah, you're a pretty big guy. I play goalie, myself.",neutral,neutral
train,dailydialog-train-4,train-4,system,"Oh, yeah? Which team?",surprise,positive
train,dailydialog-train-4,train-4,user,The Rockets.,neutral,neutral
train,dailydialog-train-4,train-4,system,"Really? I think we play you guys next week. Well, I have to go to practice. See you later.",surprise,positive
train,dailydialog-train-4,train-4,user,"All right, see you later.",neutral,neutral
train,dailydialog-train-5,train-5,user,"Hey Lydia, what are you reading?",neutral,neutral
train,dailydialog-train-5,train-5,system,"I'm looking at my horoscope for this month! My outlook is very positive. It says that I should take a vacation to someplace exotic, and that I will have a passionate summer fling!",happiness,positive
train,dailydialog-train-5,train-5,user,What are you talking about? Let me see that... What are horoscopes?,neutral,neutral
train,dailydialog-train-5,train-5,system,"It's a prediction of your month, based on your zodiac sign. You have a different sign for the month and date you were born in. I was born on April 15th, so I'm an Aries. When were you born?",neutral,neutral
train,dailydialog-train-5,train-5,user,January 5th.,neutral,neutral
train,dailydialog-train-5,train-5,system,"Let's see. . . you're a Capricorn. It says that you will be feeling stress at work, but you could see new, exciting developments in your love life. Looks like we'll both have interesting summers!",happiness,positive
train,dailydialog-train-5,train-5,user,"That's bogus. I don't feel any stress at work, and my love life is practically nonexistent. This zodiac stuff is all a bunch of nonsense.",neutral,neutral
train,dailydialog-train-5,train-5,system,"No, it's not, your astrology sign can tell you a lot about your personality. See? It says that an Aries is energetic and loves to socialize.",neutral,neutral
train,dailydialog-train-5,train-5,user,"Well, you certainly match those criteria, but they're so broad they could apply to anyone. What does it say about me?",neutral,neutral
train,dailydialog-train-5,train-5,system,A Capricorn is serious-minded and practical. She likes to do things in conventional ways. That sounds just like you!,happiness,positive
train,dailydialog-train-6,train-6,user,"Frank's getting married, do you believe this?",neutral,neutral
train,dailydialog-train-6,train-6,system,Is he really?,surprise,positive
train,dailydialog-train-6,train-6,user,"Yes, he is. He loves the girl very much.",neutral,neutral
train,dailydialog-train-6,train-6,system,Who is he marring?,neutral,neutral
train,dailydialog-train-6,train-6,user,"A girl he met on holiday in Spain, I think.",neutral,neutral
train,dailydialog-train-6,train-6,system,Have they set a date for the wedding?,neutral,neutral
train,dailydialog-train-6,train-6,user,Not yet.,neutral,neutral
train,dailydialog-train-7,train-7,user,I hear you bought a new house in the northern suburbs.,neutral,neutral
train,dailydialog-train-7,train-7,system,"That's right, we bought it the same day we came on the market.",neutral,neutral
train,dailydialog-train-7,train-7,user,What kind of house is it?,neutral,neutral
train,dailydialog-train-7,train-7,system,It's a wonderful Spanish style.,happiness,positive
train,dailydialog-train-7,train-7,user,"Oh, I love the roof tiles on Spanish style houses.",happiness,positive
train,dailydialog-train-7,train-7,system,And it's a bargaining. A house like this in river side costs double the price.,happiness,positive
train,dailydialog-train-7,train-7,user,"Great, is it a two bedroom house?",happiness,positive
train,dailydialog-train-7,train-7,system,"No, it has three bedrooms and three beds, and has a living room with a twelve-foot ceiling. There's a two-car garage.",neutral,neutral
train,dailydialog-train-7,train-7,user,That's a nice area too. It'll be a good investment for you.,happiness,positive
train,dailydialog-train-7,train-7,system,"Yeas, when will you buy a house?",neutral,neutral
train,dailydialog-train-7,train-7,user,"Not untill the end of this year, you know, just before my wedding.",neutral,neutral
train,dailydialog-train-7,train-7,system,"Right, congratulations.",happiness,positive
train,dailydialog-train-7,train-7,user,Thank you.,happiness,positive
train,dailydialog-train-8,train-8,user,"Hi, Becky, what's up?",neutral,neutral
train,dailydialog-train-8,train-8,system,"Not much, except that my mother-in-law is driving me up the wall.",neutral,neutral
train,dailydialog-train-8,train-8,user,What's the problem?,neutral,neutral
train,dailydialog-train-8,train-8,system,She loves to nit-pick and criticizes everything that I do. I can never do anything right when she's around.,neutral,neutral
train,dailydialog-train-8,train-8,user,For example?,neutral,neutral
train,dailydialog-train-8,train-8,system,"Well, last week I invited her over to dinner. My husband and I had no problem with the food, but if you listened to her, then it would seem like I fed her old meat and rotten vegetables. There's just nothing can please her.",neutral,neutral
train,dailydialog-train-8,train-8,user,"No, I can't see that happening. I know you're a good cook and nothing like that would ever happen.",neutral,neutral
train,dailydialog-train-8,train-8,system,It's not just that. She also criticizes how we raise the kids.,neutral,neutral
