scene,speaker,text,label,sentiment,label_filled
Ses01F_impro01,Ses01F_impro01_F,Excuse me.,neu,neutral,neu
Ses01F_impro01,Ses01F_impro01_M,Do you have your forms?,fru,negative,fru
Ses01F_impro01,Ses01F_impro01_F,Yeah.,neu,neutral,neu
Ses01F_impro01,Ses01F_impro01_M,Let me see them.,fru,negative,fru
Ses01F_impro01,Ses01F_impro01_F,Is there a problem?,neu,neutral,neu
Ses01F_impro01,Ses01F_impro01_M,Who told you to get in this line?,fru,negative,fru
Ses01F_impro01,Ses01F_impro01_F,You did.,,neutral,fru
Ses01F_impro01,Ses01F_impro01_F,You were standing at the beginning and you directed me.,,neutral,fru
Ses01F_impro01,Ses01F_impro01_M,Okay. But I didn't tell you to get in this line if you are filling out this particular form.,fru,negative,fru
Ses01F_impro01,Ses01F_impro01_F,Well what's the problem? Let me change it.,neu,neutral,neu
Ses01F_impro01,Ses01F_impro01_M,This form is a Z.X.four.,fru,negative,fru
Ses01F_impro01,Ses01F_impro01_M,"You can't-- This is not the line for Z.X.four. If you're going to fill out the Z.X.four, you need to have a different form of ID.",fru,negative,fru
Ses01F_impro01,Ses01F_impro01_F,What? I'm getting an ID. This is why I'm here. My wallet was stolen.,fru,negative,fru
Ses01F_impro01,Ses01F_impro01_M,No. I need another set of ID to prove this is actually you.,fru,negative,fru
Ses01F_impro01,Ses01F_impro01_F,How am I supposed to get an ID without an ID? How does a person get an ID in the first place?,fru,negative,fru
Ses01F_impro01,Ses01F_impro01_M,I don't know. But I need an ID to pass this form along. I can't just send it along without an ID.,fru,negative,fru
Ses01F_impro01,Ses01F_impro01_F,I'm here to get an ID.,fru,negative,fru
Ses01F_impro01,Ses01F_impro01_M,"No. I need another ID, a separate one.",fru,negative,fru
Ses01F_impro01,Ses01F_impro01_F,Like what? Like a birth certificate?,fru,negative,fru
Ses01F_impro01,Ses01F_impro01_M,"A birth certificate, a passport...a student ID; didn't you go to school? Anything?",fru,negative,fru
Ses01F_impro01,Ses01F_impro01_F,Who the hell has a birth certificate?,,neutral,fru
Ses01F_impro01,Ses01F_impro01_F,"Yes but my wallet was stolen, I don't have anything. I don't have any credit cards, I don't have my ID. Don't you have things on file here?",fru,negative,fru
Ses01F_impro01,Ses01F_impro01_M,"Yeah. We keep it on file, but we need an ID to access that file.",fru,negative,fru
Ses01F_impro01,Ses01F_impro01_F,That's out of control.,ang,negative,ang
Ses01F_impro01,Ses01F_impro01_M,I don't understand why this is so complicated for people when they get here. It's just a simple form. I just need an ID.,ang,negative,ang
Ses01F_impro01,Ses01F_impro01_F,How long have you been working here?,fru,negative,fru
Ses01F_impro01,Ses01F_impro01_M,Actually too long.,,neutral,ang
Ses01F_impro01,Ses01F_impro01_F,"Clearly. You know, do you have like a supervisor or something?",neu,neutral,neu
Ses01F_impro01,Ses01F_impro01_M,Yeah. Do you want to see my supervisor? Huh? Yeah. Do you want to see my supervisor? Fine. I'll be right back.,ang,negative,ang
Ses01F_impro01,Ses01F_impro01_F,That would - I would appreciate that. Yeah.,fru,negative,fru
Ses01F_impro02,Ses01F_impro02_F,Did you get the mail? So you saw my letter?,sad,negative,sad
Ses01F_impro02,Ses01F_impro02_M,It's not fair.,,neutral,sad
Ses01F_impro02,Ses01F_impro02_F,Yeah. I know.,sad,negative,sad
Ses01F_impro02,Ses01F_impro02_M,"I don't understand. You've already done so much, I don't know why do you have to go back.",sad,negative,sad
Ses01F_impro02,Ses01F_impro02_F,I don't know. I put in that. request too. They didn't...,sad,negative,sad
Ses01F_impro02,Ses01F_impro02_F,"I guess, you know, everybody has to make sacrifices.",neu,neutral,neu
Ses01F_impro02,Ses01F_impro02_M,"I don't know, it's just not fair. I think you've already made your sacrifice.",,neutral,sad
Ses01F_impro02,Ses01F_impro02_F,"There's people that have given more though, you know?",sad,negative,sad
Ses01F_impro02,Ses01F_impro02_M,I just don't see how they can make you leave when you have a new baby - we have a new kid.,fru,negative,fru
Ses01F_impro02,Ses01F_impro02_F,I know.,sad,negative,sad
Ses01F_impro02,Ses01F_impro02_M,Then why is that fair? Why--,,neutral,sad
Ses01F_impro02,Ses01F_impro02_F,"There's babies over there, though, that need mothers.",neu,neutral,neu
Ses01F_impro02,Ses01F_impro02_M,I don't know how you can be okay with this? I don't know why you're not-- you're fine with it.,sad,negative,sad
Ses01F_impro02,Ses01F_impro02_F,"I'm not okay with it, but I don't-- it's not like I have a choice. I don't see what crying about it is going to fix.",,neutral,sad
Ses01F_impro02,Ses01F_impro02_M,I'm just trying to think of another way. I'm just trying to...,,neutral,sad
Ses01F_impro02,Ses01F_impro02_F,"Just, you know, kicking myself.",sad,negative,sad
Ses01F_impro02,Ses01F_impro02_F,like you sign up because you need money and,,neutral,sad
Ses01F_impro02,Ses01F_impro02_F,things just aren't what they seem.,sad,negative,sad
Ses01F_impro02,Ses01F_impro02_M,This is a stupid war.,,neutral,sad
