scene_id,speaker,utterance,emotion_original,Annotated_Emotion_1,Annotated_Emotion_2,Annotated_Emotion_3,Annotated_Emotion_4,turn_id,LLM_joyful,LLM_mad,LLM_neutral,LLM_peaceful,LLM_powerful,LLM_sad,LLM_scared
s01_e01_c05,Paul the Wine Guy,"I know, I know, I'm such an idiot. I guess I should have caught on when she started going to the dentist four and five times a week. I mean, how clean can teeth get?",Sad,sad,Sad,Sad,Sad,1,0,1,1,0,0,1,1
s01_e01_c05,Monica Geller,"My brother's going through that right now, he's such a mess. How did you get through it?",Sad,neutral,Sad,Neutral,Sad,2,0,0,1,0,0,1,1
s01_e01_c05,Paul the Wine Guy,"Well, you might try accidentally breaking something valuable of hers, say her-",Powerful,neutral,Neutral,Neutral,Neutral,3,0,1,1,0,0,1,0
s01_e01_c05,Monica Geller,#NOM?,Joyful,neutral,neutral,Neutral,Neutral,4,0,1,1,0,0,1,0
s01_e01_c08,Paul the Wine Guy,"No, it's, it's more of a fifth date kinda revelation.",Sad,neutral,Neutral,Neutral,Neutral,1,1,0,1,0,0,1,0
s01_e01_c08,Monica Geller,"Oh, so there is gonna be a fifth date?",Neutral,joyful,Neutral,Joyful,Neutral,2,1,1,1,0,0,0,0
s01_e01_c08,Paul the Wine Guy,Isn't there?,Scared,neutral,Neutral,Neutral,Neutral,3,1,0,1,0,0,0,0
s01_e01_c08,Monica Geller,"Yeah... yeah, I think there is. -What were you gonna say?",Neutral,powerful,Neutral,joyful,Neutral,4,1,0,1,0,0,0,0
s01_e01_c13,Joey Tribbiani,Of course it was a line!,Mad,neutral,Joyful,Mad,Neutral,1,1,1,1,0,0,0,0
s01_e01_c13,Monica Geller,"Why?! Why? Why, why would anybody do something like that?",Mad,mad,Mad,Mad,Mad,2,0,1,1,0,1,1,1
s01_e01_c13,Ross Geller,I assume we're looking for an answer more sophisticated than 'to get you into bed'.,Neutral,neutral,Neutral,Neutral,Neutral,3,0,1,1,0,1,0,0
s01_e01_c13,Monica Geller,I hate men! I hate men!,Mad,mad,Mad,Mad,Mad,4,0,1,0,0,1,1,0
s01_e01_c13,Ross Geller,I assume we're looking for an answer more sophisticated than 'to get you into bed'.,Neutral,neutral,Neutral,Neutral,Neutral,5,0,1,1,0,1,0,0
s01_e01_c13,Monica Geller,I hate men! I hate men!,Mad,mad,Mad,Mad,Mad,6,0,1,0,0,1,1,1
s01_e01_c13,Phoebe Buffay,"Oh no, don't hate, you don't want to put that out into the universe.",Peaceful,peaceful,Scared,Peaceful,Scared,7,0,1,1,1,0,1,1
s01_e01_c13,Monica Geller,Is it me? Is it like I have some sort of beacon that only dogs and men with severe emotional problems can hear?,Mad,scared,Scared,Sad,Sad,8,0,1,1,0,0,1,1
s01_e10_c04,David,Rrrreally.,Neutral,scared,Scared,Joyful,Neutral,1,0,1,1,0,1,1,1
s01_e10_c04,Phoebe Buffay,"Oh, yeah, oh, I'm sure of it. You should just do it, just sweep and throw me.",Joyful,powerful,Neutral,Joyful,Mad,2,1,0,0,0,1,0,0
s01_e10_c04,David,...Now? Now?,Scared,scared,Scared,Scared,Neutral,3,0,1,1,0,1,1,1
s01_e10_c04,Phoebe Buffay,"Oh yeah, right now.",Powerful,powerful,Neutral,Powerful,Neutral,4,1,1,1,0,1,0,0
s01_e10_c06,David,"Thank you, Max. Thank you.",Peaceful,neutral,Peaceful,joyful,Joyful,1,1,0,1,1,0,1,0
s01_e10_c06,Phoebe Buffay,So-so you're really not going?,Neutral,sad,Sad,Sad,Sad,2,0,1,1,0,0,1,0
s01_e10_c06,David,I don't know. I don't know what I'm gonna do. I just- you decide.,Neutral,neutral,Neutral,Sad,Scared,3,0,1,1,0,0,1,1
s01_e10_c06,Phoebe Buffay,Oh don't do that.,Scared,mad,Neutral,Mad,Sad,4,0,1,1,0,0,1,0
s02_e23_c02,Monica Geller,"Honey, you made the bed again. I told you, you don't have to do that. This isn't camp.",Joyful,peaceful,Neutral,Peaceful,Neutral,1,1,1,1,0,1,0,0
