scene_id,utterance_id,speakers,transcript,emotion,turn_id,predicted_sentiment
s01_e02_c01,s01_e02_c01_u001,Monica Geller,"What you guys don't understand is, for us, kissing is as important as any part of it.",Joyful,0,neutral
s01_e02_c01,s01_e02_c01_u002,Joey Tribbiani,"Yeah, right!.......Y'serious?",Neutral,1,positive
s01_e02_c01,s01_e02_c01_u003,Phoebe Buffay,"Oh, yeah!",Joyful,2,positive
s01_e02_c01,s01_e02_c01_u004,Rachel Green,Everything you need to know is in that first kiss.,Powerful,3,positive
s01_e02_c01,s01_e02_c01_u005,Monica Geller,Absolutely.,Powerful,4,neutral
s01_e02_c01,s01_e02_c01_u006,Chandler Bing,"Yeah, I think for us, kissing is pretty much like an opening act, y'know? I mean it's like the stand-up comedian you have to sit through before Pink Floyd comes out.",Joyful,5,neutral
s01_e02_c01,s01_e02_c01_u007,Ross Geller,"Yeah, and-and it's not that we don't like the comedian, it's that-that... that's not why we bought the ticket.",Neutral,6,neutral
s01_e02_c01,s01_e02_c01_u008,Chandler Bing,"The problem is, though, after the concert's over, no matter how great the show was, you girls are always looking for the comedian again, y'know? I mean, we're in the car, we're fighting traffic... basically just trying to stay awake.",Mad,7,neutral
s01_e02_c01,s01_e02_c01_u009,Rachel Green,"Yeah, well, word of advice: Bring back the comedian. Otherwise next time you're gonna find yourself sitting at home, listening to that album alone.",Sad,8,neutral
s01_e02_c01,s01_e02_c01_u010,Joey Tribbiani,....Are we still talking about sex?,Joyful,9,negative
s01_e02_c02,s01_e02_c02_u001,Ross Geller,"No, it's good, it is good, it's just that- mm- doesn't she seem a little angry?",Scared,0,negative
s01_e02_c02,s01_e02_c02_u002,Marsha,"Well, she has issues.",Sad,1,neutral
s01_e02_c02,s01_e02_c02_u003,Ross Geller,Does she.,Scared,2,neutral
s01_e02_c02,s01_e02_c02_u004,Marsha,"He's out banging other women over the head with a club, while she sits at home trying to get the mastodon smell out of the carpet!",Mad,3,negative
s01_e02_c02,s01_e02_c02_u005,Ross Geller,"Marsha, these are cave people. Okay? They have issues like 'Gee, that glacier's getting kinda close.' See?",Neutral,4,neutral
s01_e02_c02,s01_e02_c02_u006,Marsha,"Speaking of issues, isn't that your ex-wife?",Mad,5,neutral
s01_e02_c02,s01_e02_c02_u008,Ross Geller,No. No.,Scared,6,neutral
s01_e02_c02,s01_e02_c02_u009,Marsha,"Yes, it is. Carol! Hi!",Joyful,7,positive
s01_e02_c02,s01_e02_c02_u010,Ross Geller,"Okay, okay, yes, it is. How about I'll, uh, catch up with you in the Ice Age.",Scared,8,neutral
s01_e02_c02,s01_e02_c02_u012,Ross Geller,Hi.,Neutral,9,neutral
s01_e02_c02,s01_e02_c02_u013,Carol Willick,So.,Neutral,10,neutral
s01_e02_c02,s01_e02_c02_u014,Ross Geller,"You look great. I, uh... I hate that.",Scared,11,negative
s01_e02_c02,s01_e02_c02_u015,Carol Willick,Sorry. You look good too.,Joyful,12,neutral
s01_e02_c02,s01_e02_c02_u016,Ross Geller,"Ah, well, in here, anyone who... stands erect... So what's new? Still, uh...",Joyful,13,neutral
s01_e02_c02,s01_e02_c02_u017,Carol Willick,A lesbian?,Neutral,14,neutral
s01_e02_c02,s01_e02_c02_u018,Ross Geller,"Well... you never know. How's, um.. how's the family?",Peaceful,15,neutral
s01_e02_c02,s01_e02_c02_u019,Carol Willick,"Marty's still totally paranoid. Oh, and, uh-",Mad,16,neutral
s01_e02_c02,s01_e02_c02_u020,Ross Geller,"Why- why are you here, Carol?",Scared,17,negative
s01_e02_c02,s01_e02_c02_u021,Carol Willick,I'm pregnant.,Neutral,18,positive
s01_e02_c02,s01_e02_c02_u022,Ross Geller,Pregnant?!,Scared,19,positive
s01_e02_c06,s01_e02_c06_u001,Ross Geller,"Sorry I'm late, I was stuck at work. There was this big dinosaur.. thing.. anyway.",Neutral,0,neutral
s01_e02_c06,s01_e02_c06_u003,Susan Bunch,Hi.,Neutral,1,neutral
s01_e02_c06,s01_e02_c06_u004,Carol Willick,"Ross, you remember Susan.",Neutral,2,neutral
s01_e02_c06,s01_e02_c06_u005,Ross Geller,How could I forget?,Mad,3,positive
s01_e02_c06,s01_e02_c06_u006,Susan Bunch,Ross.,Neutral,4,neutral
s01_e02_c06,s01_e02_c06_u007,Ross Geller,"Hello, Susan. Good shake. Good shake. So, uh, we're just waiting for...?",Neutral,5,neutral
s01_e02_c06,s01_e02_c06_u008,Carol Willick,Dr. Oberman.,Neutral,6,neutral
s01_e02_c06,s01_e02_c06_u009,Ross Geller,..Dr. Oberman. Okay. And is he-,Neutral,7,neutral
s01_e02_c06,s01_e02_c06_u010,Susan Bunch,She.,Neutral,8,neutral
s01_e02_c06,s01_e02_c06_u011,Ross Geller,"-she, of course, she- uh- familiar with our.. special situation?",Neutral,9,neutral
s01_e02_c06,s01_e02_c06_u012,Carol Willick,"Yes, and she's very supportive.",Neutral,10,neutral
s01_e02_c06,s01_e02_c06_u013,Ross Geller,"Okay, that's great. No, I'm- Oh.",Neutral,11,positive
s01_e02_c06,s01_e02_c06_u014,Carol Willick,Thanks.,Neutral,12,neutral
s01_e02_c06,s01_e02_c06_u015,Ross Geller,"Quack, quack..",Joyful,13,positive
s01_e02_c06,s01_e02_c06_u016,Carol Willick,Ross? That opens my cervix.,Scared,14,positive
s01_e02_c07,s01_e02_c07_u001,Rachel Green,Barry?,Neutral,0,neutral
s01_e02_c07,s01_e02_c07_u002,Barry Farber,C'mon in.,Neutral,1,neutral
s01_e02_c07,s01_e02_c07_u003,Rachel Green,Are you sure?,Scared,2,neutral
s01_e02_c07,s01_e02_c07_u004,Barry Farber,"Yeah! It's fine, it's fine. Robbie's gonna be here for hours.",Neutral,3,neutral
s01_e02_c07,s01_e02_c07_u005,Robbie,Huh?!,Scared,4,negative
s01_e02_c07,s01_e02_c07_u006,Barry Farber,"So, how ya doin?",Peaceful,5,neutral
s01_e02_c07,s01_e02_c07_u007,Rachel Green,I'm- uh- I'm okay... You look great!,Sad,6,positive
s01_e02_c07,s01_e02_c07_u008,Barry Farber,"Yeah, well..",Neutral,7,neutral
s01_e02_c07,s01_e02_c07_u009,Bernice,"Dr. Farber, Jason Greenstein's gagging.",Neutral,8,negative
s01_e02_c07,s01_e02_c07_u010,Barry Farber,Be right there. Be back in a sec.,Neutral,9,neutral
s01_e02_c07,s01_e02_c07_u012,Rachel Green,I dumped him.,Sad,10,negative
s01_e02_c07,s01_e02_c07_u013,Robbie,Okay.,Neutral,11,neutral
s01_e02_c08,s01_e02_c08_u001,Ross Geller,"So, um- so how's this, uh, how's this gonna work? Y'know, with us? Y'know, when, like, important decisions have to be made?",Scared,0,neutral
s01_e02_c08,s01_e02_c08_u002,Carol Willick,Give me a 'for instance'.,Mad,1,neutral
s01_e02_c08,s01_e02_c08_u003,Ross Geller,"Well, uh, uh, I don't know, okay, okay, how about with the, uh, with the baby's name?",Scared,2,neutral
s01_e02_c08,s01_e02_c08_u004,Carol Willick,Marlon-,Powerful,3,neutral
s01_e02_c08,s01_e02_c08_u005,Ross Geller,Marlon?!,Mad,4,negative
s01_e02_c08,s01_e02_c08_u006,Carol Willick,"-if it's a boy, Minnie if it's a girl.",Powerful,5,neutral
s01_e02_c08,s01_e02_c08_u007,Ross Geller,...As in Mouse?,Mad,6,neutral
s01_e02_c08,s01_e02_c08_u008,Carol Willick,As in my grandmother.,Neutral,7,neutral
s01_e02_c08,s01_e02_c08_u009,Ross Geller,"Still, you- you say Minnie, you hear Mouse. Um, how about, um.. how about Julia?",Scared,8,neutral
s01_e02_c08,s01_e02_c08_u010,Carol Willick,Julia..,Neutral,9,neutral
s01_e02_c08,s01_e02_c08_u011,Susan Bunch,We agreed on Minnie.,Powerful,10,neutral
s01_e02_c08,s01_e02_c08_u012,Ross Geller,"'S'funny, um, uh, we agreed we'd spend the rest of our lives together. Things change, roll with the punches. I believe Julia's on the table..?",Powerful,11,neutral
