data_split,dialogue_id,original_id,speaker,utterance,emotion
train,dailydialog-train-0,train-0,user,"Say, Jim, how about going for a few beers after dinner?",no emotion
train,dailydialog-train-0,train-0,system,You know that is tempting but is really not good for our fitness.,no emotion
train,dailydialog-train-0,train-0,user,What do you mean? It will help us to relax.,no emotion
train,dailydialog-train-0,train-0,system,Do you really think so? I don't. It will just make us fat and act silly. Remember last time?,no emotion
train,dailydialog-train-0,train-0,user,I guess you are right. But what shall we do? I don't feel like sitting at home.,no emotion
train,dailydialog-train-0,train-0,system,I suggest a walk over to the gym where we can play singsong and meet some of our friends.,no emotion
train,dailydialog-train-0,train-0,user,That's a good idea. I hear Mary and Sally often go there to play pingpong. Perhaps we can make a foursome with them.,happiness
train,dailydialog-train-0,train-0,system,"Sounds great to me! If they are willing, we could ask them to go dancing with us. That is excellent exercise and fun, too.",happiness
train,dailydialog-train-0,train-0,user,Good. Let' s go now.,happiness
train,dailydialog-train-0,train-0,system,All right.,happiness
train,dailydialog-train-1,train-1,user,Can you do push-ups?,no emotion
train,dailydialog-train-1,train-1,system,"Of course I can. It's a piece of cake! Believe it or not, I can do 30 push-ups a minute.",no emotion
train,dailydialog-train-1,train-1,user,Really? I think that's impossible!,surprise
train,dailydialog-train-1,train-1,system,You mean 30 push-ups?,no emotion
train,dailydialog-train-1,train-1,user,Yeah!,no emotion
train,dailydialog-train-1,train-1,system,"It's easy. If you do exercise everyday, you can make it, too.",no emotion
train,dailydialog-train-2,train-2,user,Can you study with the radio on?,no emotion
train,dailydialog-train-2,train-2,system,"No, I listen to background music.",no emotion
train,dailydialog-train-2,train-2,user,What is the difference?,no emotion
train,dailydialog-train-2,train-2,system,The radio has too many comerials.,no emotion
train,dailydialog-train-2,train-2,user,"That's true, but then you have to buy a record player.",no emotion
train,dailydialog-train-3,train-3,user,Are you all right?,no emotion
train,dailydialog-train-3,train-3,system,I will be all right soon. I was terrified when I watched them fall from the wire.,no emotion
