scene,speaker,text,label
Ses01F_impro01,Ses01F_impro01_F,Excuse me.,neu
Ses01F_impro01,Ses01F_impro01_M,Do you have your forms?,fru
Ses01F_impro01,Ses01F_impro01_F,Yeah.,neu
Ses01F_impro01,Ses01F_impro01_M,Let me see them.,fru
Ses01F_impro01,Ses01F_impro01_F,Is there a problem?,neu
Ses01F_impro01,Ses01F_impro01_M,Who told you to get in this line?,fru
Ses01F_impro01,Ses01F_impro01_F,You did.,
Ses01F_impro01,Ses01F_impro01_F,You were standing at the beginning and you directed me.,
Ses01F_impro01,Ses01F_impro01_M,Okay. But I didn't tell you to get in this line if you are filling out this particular form.,fru
Ses01F_impro01,Ses01F_impro01_F,Well what's the problem? Let me change it.,neu
Ses01F_impro01,Ses01F_impro01_M,This form is a Z.X.four.,fru
Ses01F_impro01,Ses01F_impro01_M,"You can't-- This is not the line for Z.X.four. If you're going to fill out the Z.X.four, you need to have a different form of ID.",fru
Ses01F_impro01,Ses01F_impro01_F,What? I'm getting an ID. This is why I'm here. My wallet was stolen.,fru
Ses01F_impro01,Ses01F_impro01_M,No. I need another set of ID to prove this is actually you.,fru
Ses01F_impro01,Ses01F_impro01_F,How am I supposed to get an ID without an ID? How does a person get an ID in the first place?,fru
Ses01F_impro01,Ses01F_impro01_M,I don't know. But I need an ID to pass this form along. I can't just send it along without an ID.,fru
Ses01F_impro01,Ses01F_impro01_F,I'm here to get an ID.,fru
Ses01F_impro01,Ses01F_impro01_M,"No. I need another ID, a separate one.",fru
Ses01F_impro01,Ses01F_impro01_F,Like what? Like a birth certificate?,fru
Ses01F_impro01,Ses01F_impro01_M,"A birth certificate, a passport...a student ID; didn't you go to school? Anything?",fru
Ses01F_impro01,Ses01F_impro01_F,Who the hell has a birth certificate?,
Ses01F_impro01,Ses01F_impro01_F,"Yes but my wallet was stolen, I don't have anything. I don't have any credit cards, I don't have my ID. Don't you have things on file here?",fru
Ses01F_impro01,Ses01F_impro01_M,"Yeah. We keep it on file, but we need an ID to access that file.",fru
Ses01F_impro01,Ses01F_impro01_F,That's out of control.,ang
Ses01F_impro01,Ses01F_impro01_M,I don't understand why this is so complicated for people when they get here. It's just a simple form. I just need an ID.,ang
Ses01F_impro01,Ses01F_impro01_F,How long have you been working here?,fru
Ses01F_impro01,Ses01F_impro01_M,Actually too long.,
Ses01F_impro01,Ses01F_impro01_F,"Clearly. You know, do you have like a supervisor or something?",neu
Ses01F_impro01,Ses01F_impro01_M,Yeah. Do you want to see my supervisor? Huh? Yeah. Do you want to see my supervisor? Fine. I'll be right back.,ang
Ses01F_impro01,Ses01F_impro01_F,That would - I would appreciate that. Yeah.,fru
Ses01F_impro02,Ses01F_impro02_F,Did you get the mail? So you saw my letter?,sad
Ses01F_impro02,Ses01F_impro02_M,It's not fair.,
Ses01F_impro02,Ses01F_impro02_F,Yeah. I know.,sad
Ses01F_impro02,Ses01F_impro02_M,"I don't understand. You've already done so much, I don't know why do you have to go back.",sad
Ses01F_impro02,Ses01F_impro02_F,I don't know. I put in that. request too. They didn't...,sad
Ses01F_impro02,Ses01F_impro02_F,"I guess, you know, everybody has to make sacrifices.",neu
Ses01F_impro02,Ses01F_impro02_M,"I don't know, it's just not fair. I think you've already made your sacrifice.",
Ses01F_impro02,Ses01F_impro02_F,"There's people that have given more though, you know?",sad
Ses01F_impro02,Ses01F_impro02_M,I just don't see how they can make you leave when you have a new baby - we have a new kid.,fru
Ses01F_impro02,Ses01F_impro02_F,I know.,sad
Ses01F_impro02,Ses01F_impro02_M,Then why is that fair? Why--,
Ses01F_impro02,Ses01F_impro02_F,"There's babies over there, though, that need mothers.",neu
Ses01F_impro02,Ses01F_impro02_M,I don't know how you can be okay with this? I don't know why you're not-- you're fine with it.,sad
Ses01F_impro02,Ses01F_impro02_F,"I'm not okay with it, but I don't-- it's not like I have a choice. I don't see what crying about it is going to fix.",
Ses01F_impro02,Ses01F_impro02_M,I'm just trying to think of another way. I'm just trying to...,
Ses01F_impro02,Ses01F_impro02_F,"Just, you know, kicking myself.",sad
Ses01F_impro02,Ses01F_impro02_F,like you sign up because you need money and,
Ses01F_impro02,Ses01F_impro02_F,things just aren't what they seem.,sad
Ses01F_impro02,Ses01F_impro02_M,This is a stupid war.,
Ses01F_impro02,Ses01F_impro02_F,"We're doing the right thing, though.",
Ses01F_impro02,Ses01F_impro02_M,I know.,fru
Ses01F_impro02,Ses01F_impro02_M,I just don't see why it has to be you.,sad
Ses01F_impro02,Ses01F_impro02_F,"If not me then, who?",sad
Ses01F_impro02,Ses01F_impro02_M,What am I going to do? Huh?,sad
Ses01F_impro02,Ses01F_impro02_F,"You'll videotape everything, yeah?",sad
Ses01F_impro02,Ses01F_impro02_M,Yeah.,sad
Ses01F_impro02,Ses01F_impro02_F,"Maybe you can send it to me, like stream it, yeah?",sad
Ses01F_impro02,Ses01F_impro02_M,Don't you guys have access to computers over there.,neu
Ses01F_impro02,Ses01F_impro02_F,Last month-- Yeah.,sad
Ses01F_impro02,Ses01F_impro02_M,I just don't know how I'm going to do it without you.,sad
Ses01F_impro02,Ses01F_impro02_F,I have to find sitters.,neu
Ses01F_impro02,Ses01F_impro02_M,I can't raise a baby by myself. How?,sad
Ses01F_impro02,Ses01F_impro02_F,"We've got friends, that's why we moved here, huh? Because there is a day care down the street.",sad
Ses01F_impro02,Ses01F_impro02_M,I know.,neu
Ses01F_impro02,Ses01F_impro02_F,And your mother is close by.,neu
Ses01F_impro02,Ses01F_impro02_F,I'll send you lots of letters.,sad
Ses01F_impro02,Ses01F_impro02_F,And I want lots and lots and lots of pictures.,sad
Ses01F_impro02,Ses01F_impro02_M,It's just not fair.,fru
Ses01F_impro03,Ses01F_impro03_M,So what's up? What's new?,neu
Ses01F_impro03,Ses01F_impro03_F,Well Vegas was awesome.,hap
Ses01F_impro03,Ses01F_impro03_M,Yeah. I heard.,neu
Ses01F_impro03,Ses01F_impro03_F,"And, um, I got married.",hap
Ses01F_impro03,Ses01F_impro03_M,Shut up. No- in Vegas?,
Ses01F_impro03,Ses01F_impro03_F,Yeah. In the old town part.,hap
Ses01F_impro03,Ses01F_impro03_M,Who did you marry?,exc
Ses01F_impro03,Ses01F_impro03_F,Chuck. [LAUGHTER],
Ses01F_impro03,Ses01F_impro03_M,Did you propose to you?,
Ses01F_impro03,Ses01F_impro03_F,Um- Yes. It was very romantic.,hap
Ses01F_impro03,Ses01F_impro03_F,It was at the slot machines.,hap
Ses01F_impro03,Ses01F_impro03_M,Oh. The Wheel of Fortune slots?,
Ses01F_impro03,Ses01F_impro03_F,"Uhuh, uhuh. He won big and he-and he realized that the only thing that would make it better was me as his bride.",hap
Ses01F_impro03,Ses01F_impro03_M,He turned to you and was like...,neu
Ses01F_impro03,Ses01F_impro03_F,Hey. Let's get married and I said okay.,
Ses01F_impro03,Ses01F_impro03_M,[LAUGHTER] That's really romantic.,hap
Ses01F_impro03,Ses01F_impro03_F,"Yeah. Well. You know, because he's leaving the next day.",hap
Ses01F_impro03,Ses01F_impro03_M,Yeah.,neu
Ses01F_impro03,Ses01F_impro03_F,But we're going to have a honeymoon cruise.,hap
Ses01F_impro03,Ses01F_impro03_M,"Does that mean that you're going to get citizenship, too, in- in England or whatever?",neu
Ses01F_impro03,Ses01F_impro03_F,Oh. I hadn't even thought about that.,hap
Ses01F_impro03,Ses01F_impro03_M,Yeah. Think about that.,
Ses01F_impro03,Ses01F_impro03_F,"He's not going to be a citizen, though.",
Ses01F_impro03,Ses01F_impro03_M,Yeah. But he'll have like a long visa. Can you go visit then for a long time?,neu
Ses01F_impro03,Ses01F_impro03_F,Oh. Totally.,hap
Ses01F_impro03,Ses01F_impro03_M,"Oh, how are you going to do the long distance thing? So wait, are you going to move there?",
Ses01F_impro03,Ses01F_impro03_F,I guess I'll- I guess I'll have an internet husband.[LAUGHTER],hap
Ses01F_impro03,Ses01F_impro03_M,Like you need another one of those.[LAUGHTER],hap
Ses01F_impro03,Ses01F_impro03_F,I have an internet boyfriend. I guess I'll have to juggle the two. Is that cheating? I don't know. Hmm.,
Ses01F_impro03,Ses01F_impro03_M,Is that your phone?,hap
Ses01F_impro03,Ses01F_impro03_F,"Yeah, so [LAUGHTER] He's calling me now",exc
Ses01F_impro03,Ses01F_impro03_M,He loves you.,hap
Ses01F_impro03,Ses01F_impro03_F,"He likes to keep tabs, you know.",hap
Ses01F_impro03,Ses01F_impro03_M,How much did he win at the slot?,neu
Ses01F_impro03,Ses01F_impro03_F,"Uh, I think seven hundred and fifty dollars.",neu
Ses01F_impro03,Ses01F_impro03_M,Really? Penny slots?,
Ses01F_impro03,Ses01F_impro03_F,Penny slots. That's what he plays.,neu
Ses01F_impro03,Ses01F_impro03_M,Wow.,
