dialog_id,speaker,utterance,emotion_original,Annotated_Emotion_1,Annotated_Emotion_2,Annotated_Emotion_4,Annotated_Emotion_3,turn_id,LLM_anger,LLM_disgust,LLM_fear,LLM_joy,LLM_sadness,LLM_surprise,LLM_neutral
2,Ross,Okay.,neutral,neutral,neutral,neutral,neutral,1,0,0,0,0,0,0,1
2,Rachel,"Ross, didn't you say that there was an elevator in here?",neutral,anger,anger,neutral,neutral,2,0,0,0,0,0,1,1
2,Ross,"Uhh, yes I did but there isn't. Okay, here we go.",sadness,sadness,surprise,neutral,neutral,3,0,0,0,0,0,1,1
2,Ross,"Okay, go left. Left! Left!",surprise,sadness,neutral,neutral,joy,4,1,0,0,1,0,0,1
4,Monica,Oh my God!,surprise,surprise,surprise,surprise,neutral,1,1,1,1,1,1,1,1
4,Phoebe,"Oh no wait, oh no, the elastic on my underwear busted.",neutral,sadness,fear,surprise,anger,2,0,1,0,0,0,1,1
4,Joey,Oh my God! I overslept! I was supposed to be on the set a half an hour ago! I gotta get out of here!,fear,surprise,fear,surprise,neutral,3,1,0,1,0,1,1,1
4,Monica,"Oh wait, Joey, you can’t go like that! You stink!",disgust,anger,surprise,fear,neutral,4,1,1,0,0,0,1,1
12,Ross,"I mean, enough of the silliness!",anger,anger,anger,anger,neutral,1,1,1,0,1,0,1,1
12,Chandler,"Well, why don’t you tell her to stop being silly!",anger,anger,anger,anger,neutral,2,1,0,0,0,0,0,1
12,Ross,Okay-okay!,anger,anger,neutral,anger,sadness,3,1,0,1,1,0,1,1
12,Ross,"Two very good points, look I’ve known you both a long time, and I’ve never seen either of you one/millionth as happy as you’ve been since you’ve got together.",sadness,sadness,neutral,joy,neutral,4,0,0,0,1,0,1,1
12,Ross,"Now wh-what is more important, love or silliness?",neutral,neutral,neutral,neutral,neutral,5,1,1,0,1,0,1,1
12,Chandler,"Well, we are fond of the silliness, but we also have a soft spot for the love.",neutral,neutral,joy,neutral,anger,6,0,0,0,1,0,0,1
12,Monica,Love is the best medicine.,joy,joy,joy,neutral,anger,7,0,0,0,1,0,0,1
12,Chandler,That’s laughter.,joy,disgust,joy,neutral,sadness,8,0,0,0,1,0,0,1
17,Rachel,"Okay, look, Ross, I realise that my Father is difficult, but that’s why you have got to be the bigger man here.",neutral,sadness,neutral,neutral,anger,1,1,1,0,0,1,0,1
17,Ross,"Look sweetie, I could be the bigger man, I could be the biggest man, I could be a big, huge, giant man, and it still wouldn’t make any difference, except that I could pick your Father up and say ‘Like me!",anger,sadness,fear,sadness,anger,2,1,1,0,1,0,0,1
17,Ross,Like me tiny doctor!’,anger,sadness,fear,neutral,neutral,3,1,1,0,1,0,0,1
17,Rachel,"Okay, well can’t you just try it one more time Ross? For me? For me?",sadness,sadness,neutral,sadness,neutral,4,1,0,0,0,1,0,1
25,Ross,"Y'know what I didn’t wear this suit for a year because you hated it. Well, guess what? You’re not my girlfriend anymore so...",anger,anger,sadness,anger,neutral,1,1,1,0,1,1,0,1
25,Rachel,"Oh I see, so this suit is making a point.",neutral,anger,neutral,surprise,disgust,2,1,1,0,0,1,1,1
25,Rachel,"Now that you’re on you’re own, you’re free to look as stupid as you like.",anger,anger,neutral,anger,neutral,3,1,1,0,0,0,0,1
25,Ross,You like it right?,neutral,anger,neutral,neutral,anger,4,1,1,0,0,1,0,1
41,Rachel,I can’t believe it! He still hasn’t called.,anger,anger,anger,surprise,neutral,1,1,1,1,0,1,1,1
41,Phoebe,"Who, Josh?",surprise,neutral,neutral,neutral,neutral,2,0,0,0,0,1,1,1
41,Rachel,It’s Joshua.,anger,neutral,neutral,neutral,neutral,3,1,0,0,0,1,0,1
41,Monica,"What, he doesn’t like Josh?",surprise,neutral,surprise,surprise,neutral,4,1,1,0,0,0,1,1
49,Monica,All weekend? That's a whole lotta naked.,surprise,disgust,anger,joy,neutral,1,1,1,0,1,0,1,1
49,Chandler,"Yeah, I can say that I have a conference and you can say you have a chef thing.",neutral,neutral,neutral,joy,neutral,2,0,0,1,1,0,0,1
49,Monica,"Ohh, I've always wanted to go to this culinary fair that they have in Jersey!",joy,neutral,joy,joy,neutral,3,0,0,0,1,0,1,1
49,Chandler,"Okay, y'know your not though. Let's go.",neutral,neutral,neutral,neutral,neutral,4,1,0,0,1,0,0,1
54,Judge,So based on your petition you are seeking an annulment on the grounds that Mr. Geller is mentally unstable.,neutral,neutral,neutral,surprise,neutral,1,0,0,0,0,0,0,1
54,Ross,"Fine, I’m mentally unstable.",anger,sadness,neutral,anger,neutral,2,1,1,0,0,1,1,1
54,Judge,And based on the fact that Mr. Geller is intravenous drug user.,neutral,neutral,neutral,neutral,neutral,3,1,1,0,0,0,0,1
