,precision,recall,f1-score,support
joyful,0.6084905660377359,0.4607142857142857,0.524390243902439,280.0
mad,0.36645962732919257,0.5315315315315315,0.4338235294117647,111.0
neutral,0.4013722126929674,0.6743515850144092,0.5032258064516129,347.0
peaceful,0.23255813953488372,0.06493506493506493,0.10152284263959391,154.0
powerful,0.3225806451612903,0.07142857142857142,0.11695906432748537,140.0
sad,0.3958333333333333,0.3877551020408163,0.3917525773195876,98.0
scared,0.40437158469945356,0.4111111111111111,0.40771349862258954,180.0
"{
  ""predicted_emotion"": ""neutral"",
  ""reasoning"": ""the utterance 'it's a little early to be drinkin\'. does not express any strong emotional content. it is more of a neutral observation or mild suggestion.""
}",0.0,0.0,0.0,0.0
accuracy,0.42290076335877863,0.42290076335877863,0.42290076335877863,0.42290076335877863
macro avg,0.3414582635986071,0.32522840647197376,0.3099234453343841,1310.0
weighted avg,0.4144155195817459,0.42290076335877863,0.39190229312811414,1310.0
