dialog_id,speaker,utterance,turn_id,emotion_original,Annotated_Emotion_1,Annotated_Emotion_3,Annotated_Emotion_2,LLM_anger,LLM_disgust,LLM_fear,LLM_happiness,LLM_sadness,LLM_surprise,LLM_neutral
dailydialog-test-101,user,That's a nice discount.,1,happiness,happiness, neutral ,surprise,0,0,0,1,0,1,1
dailydialog-test-101,system,Here. Let me give you an application form.,2,neutral,neutral, neutral ,neutral,0,0,0,1,0,0,1
dailydialog-test-101,user,"Thank you, but I'm just browsing today.",3,happiness,neutral, happiness ,neutral,1,0,0,0,0,0,1
dailydialog-test-101,system,Okay. Enjoy your browsing.,4,happiness,neutral, neutral ,neutral,0,0,0,1,0,0,1
dailydialog-test-189,system,Accessories? Do you carry polarizing filters?,1,neutral,anger, neutral ,neutral,0,0,0,0,0,0,1
dailydialog-test-189,user,"Polarizing filter um we should! I'm sorry, ma'am. It looks like we're sold out.",2,happiness,neutral, sadness ,neutral,1,0,0,0,1,1,1
dailydialog-test-189,system,No you're not! There are some right here!,3,happiness,anger, sadness ,anger ,1,1,0,1,0,1,1
dailydialog-test-189,user,"Oh, well, would you look at that! Polarizing filters.",4,happiness,surprise, neutral ,surprise,1,0,0,1,0,1,1
dailydialog-test-354,system,"Hi there, everyone. We hope you're having a good night!",1,happiness,neutral , happiness ,happiness ,0,0,0,1,0,0,1
dailydialog-test-354,user,Wasn't that football game great! I just knew we'd win!,2,happiness,happiness, neutral ,happiness ,0,0,0,1,0,1,1
dailydialog-test-354,system,"The night is young, folks. Get some food and mingle with those faces from yesterday.",3,happiness,happiness, neutral ,happiness ,0,0,0,1,0,0,1
dailydialog-test-354,user,Later we'll let you know who the King and Queen of the Reunion will be.,4,neutral,neutral, neutral ,neutral,0,0,0,1,0,0,1
dailydialog-test-469,system,It's kind of you to meet me at the airport.,1,happiness,happiness, sadness ,happiness ,0,0,0,1,0,1,1
dailydialog-test-469,user,Welcome to Beijing. Is this your first time in China?,2,neutral,neutral, neutral ,neutral,0,0,0,1,0,0,1
dailydialog-test-469,system,"No, I have visited China several times, but it's my first visit to Beijing and I think it's a great honor to be invited to your beautiful city.",3,happiness,happiness, neutral ,happiness ,0,0,0,1,0,1,1
dailydialog-test-469,user,It's our pleasure to have you here. I hope you will have a pleasant stay here.,4,happiness,happiness, neutral ,happiness ,0,0,0,1,0,0,1
dailydialog-test-546,user,How's the bride-to-be?,1,neutral,happiness, anger ,neutral,0,0,0,1,0,1,1
dailydialog-test-546,system,Tired and stressed. This wedding is giving me a headache.,2,sadness,sadness, neutral ,neutral,1,0,0,0,1,0,0
dailydialog-test-546,user,"Just relax. With me as your maid of honor, everything will be fine!",3,happiness,neutral, anger ,happiness ,0,0,0,1,1,0,1
dailydialog-test-546,system,I'm worried that everything will be chaotic!,4,fear,fear, neutral ,fear ,1,0,1,0,1,1,1
dailydialog-test-587,user,"Yeah, yeah, I know what I selected. Just gimme my money!",1,anger,anger, happiness ,anger ,1,1,0,0,0,0,0
dailydialog-test-587,system,"Please type the amount you would like to withdraw. Thank you, you want to transfer 10000 USD to the World Wildlife Foundation. If this is correct please press 1.",2,happiness,neutral, anger ,neutral,1,0,0,0,0,1,1
dailydialog-test-587,user,"No, no! Stupid machine, what are you doing! No!",3,anger,anger, neutral ,anger ,1,1,1,0,1,1,1
dailydialog-test-587,system,Confirmed. Thank you for using our bank! Please remove your card from the slot. Goodbye!,4,happiness,neutral, neutral ,neutral,1,1,1,0,0,1,1
dailydialog-test-598,user,Nice to meet you! My name is Grace Williams.,1,happiness,neutral, neutral ,happiness ,0,0,0,1,0,0,1
dailydialog-test-598,system,Nice to meet you too! I am Peter Smith.,2,happiness,neutral, neutral ,happiness ,0,0,0,1,0,0,1
dailydialog-test-598,user,Today is my first day at work!,3,happiness,happiness, happiness ,happiness ,0,0,1,1,0,1,1
dailydialog-test-598,system,"Well, hope you will enjoy your first day! Just ask me if you need any help.",4,happiness,neutral, happiness ,happiness ,0,0,0,1,0,0,1
dailydialog-test-623,user,I am so glad that you decided to stop by!,1,happiness,happiness, happiness ,happiness ,0,0,0,1,0,1,1
dailydialog-test-623,system,"Yes, it has been a long time since we have seen you.",2,happiness,happiness, neutral ,neutral,0,0,0,1,1,1,1
dailydialog-test-623,user,"Mary, can I get Josh or you something to drink?",3,happiness,neutral, neutral ,neutral,0,0,0,1,0,0,1
dailydialog-test-623,system,"Oh no, thank you. We aren't all that thirsty.",4,neutral,neutral, neutral ,neutral,0,0,0,1,0,0,1
dailydialog-test-627,system,You can have a bird view of Guiling City from the top of the mountain.,1,happiness,neutral, neutral ,neutral,0,0,0,1,0,0,1
dailydialog-test-627,user,Wonderful! I'll often come here for mountain climbing.,2,happiness,happiness, neutral ,happiness ,0,0,0,1,0,1,1
dailydialog-test-627,system,"You should. Many Guiliners, especially the old and the young, will climb mountains here in the morning.",3,happiness,neutral, neutral ,neutral,0,0,0,1,0,0,1
dailydialog-test-627,user,No wonder people say,4,happiness,neutral, neutral ,neutral,0,0,0,1,0,1,1
dailydialog-test-790,user,"Next Monday is my birthday, and I would like you to attend my party.",1,happiness,happiness, happiness ,happiness ,0,0,0,1,0,0,1
dailydialog-test-790,system,Wow. I'd love to.,2,happiness,happiness, neutral ,happiness ,0,0,0,1,0,1,1
dailydialog-test-790,user,Great!,3,happiness,happiness, neutral ,happiness ,0,0,0,1,0,1,1
dailydialog-test-790,system,When and where?,4,happiness,neutral, neutral ,neutral,0,0,0,1,0,0,1
dailydialog-test-793,system,The seaside.,1,happiness,neutral, neutral ,neutral,0,0,0,1,0,0,1
dailydialog-test-793,user,That's really a good idea. Taking a walk on the beach and lying in the sun are pretty good. I recommend you Qingdao or Dalian.,2,happiness,neutral, happiness ,neutral,0,0,0,1,0,0,1
dailydialog-test-793,system,"I'Ve been to Qingdao before, so I'll choose Dalian. I've heard that the environment there is very good.",3,happiness,neutral, neutral ,neutral,0,0,0,1,0,0,1
dailydialog-test-793,user,"Yes, that's a good place to spend a holiday. Last year I went there. It's really.",4,happiness,neutral, neutral ,neutral,0,0,0,1,0,0,1
dailydialog-test-804,system,"They are moving today. Tom's taken the day off. He's rented a truck, and they should have all their furniture in the house tonight.",1,happiness,neutral, neutral ,neutral,0,0,0,1,0,0,1
