scene_id,speaker,text,emotion
2593,Rachel,"Oh my god, have you guys seen the latest episode of Friends?",fear
2593,Monica,"Yeah, I just watched it. I'm still trying to process what happened to Ross and Rachel.",sadness
2593,Joey,"I know, right? I felt so bad for Ross. I mean, who does that to their nap partner?",sadness
2593,Chandler,"Wait, what? You guys are talking about the nap partners episode? That was insane!",surprise
2593,Phoebe,"I know, I loved it! It was so funny and unexpected.",joy
2593,Monica,And I loved how Ross finally stood up for himself and got his nap partner back.,joy
7930,Monica,"Joey, have you seen the state of your fridge? It's a biohazard!",fear
7930,Joey,"What's wrong with my fridge? It's fineoh wait, is that a moldy sandwich?",surprise
7930,Monica,"Joey, don't even joke about that! We can't have food poisoning in this apartment!",fear
7930,Joey,"Ah, come on! A little mold never hurt anyone. Besides, I'm making the most epic sandwich of the century today!",joy
7930,Rachel,"Ooh, what's in this sandwich? Can I try some?",joy
7930,Joey,"Of course! It's got turkey, avocado, bacon, andandoh, I think I'll just surprise you",joy
7930,Chandler,Surprise? You mean like a heart attack waiting to happen?,joy
4683,Joey,"What's going on, guys? I just saw Chandler walking out of the office building with a big smile on his face.",fear
4683,Monica,That's weird. Maybe he's just going out for a coffee.,neutral
4683,Joey,"But he was carrying a box! What's in the box, huh?",fear
4683,Chandler,"Hey guys, I just quit my job. I'm done with advertising.",sadness
4683,Monica,"Chandler, why did you do that? You loved your job.",neutral
4683,Rachel,"Yeah, but maybe this is a good opportunity for you to explore other passions.",neutral
7843,Rachel,"Oh no, this is crazy! Mike's going to propose to Phoebe in the snow?",fear
7843,Monica,"I don't know, guys, but I think it's going to be a beautiful moment.",neutral
7843,Joey,"Are you kidding me? Phoebe's going to say no, and Mike's going to be devastated!",anger
7843,Rachel,"Oh no, I'm so worried about this! What if Phoebe doesn't feel the same way?",fear
7843,Chandler,"Wait, did someone say snow? I hope there's hot chocolate involved.",surprise
7843,Monica,"Guys, stop worrying! Phoebe loves Mike, and this is going to be a special moment for them.",fear
1799,Monica,"Oh no, I'm mortified! I spilled coffee all over my shirt during a meeting at work.",fear
1799,Rachel,"Haha, that's so Monica. What's the big deal, it's just a little coffee stain?",neutral
1799,Joey,"Yeah, I once spilled an entire plate of spaghetti all over the set of Days of Our Lives. Now that was embarrassing.",neutral
1799,Chandler,I once wore a bright orange suit to a job interview. That was a real highlight of my life.,neutral
1799,Monica,"You guys are making me feel better, but I'm still really worried about what my boss will think.",fear
1799,Phoebe,"Don't worry, Monica, everyone's had a embarrassing moment at work. It's just a normal part of life.",neutral
4502,Monica,"Guys, have you seen the living room lately? It's a mess! And what's with the couch? It's like it's been pivoted or something.",fear
4502,Rachel,"Oh, yeah, I saw it yesterday. It was fine, though. Just a little wonky.",neutral
4502,Ross,Wonky?! This is a disaster! Someone needs to get a professional to fix it. And I'm going to find out who did this!,anger
4502,Joey,"Whoa, what's going on? Why is everyone so upset about the couch?",surprise
4502,Chandler,"Yeah, what's the big deal? It's just a couch.",surprise
4502,Phoebe,"Guys, I think I know what happened. I saw Monica trying to fix it yesterday, but it looked like it was going to collapse. I told her to stop, but she didn't listen!",surprise
1217,Monica,"Oh my god, have you guys seen the resolutions we're supposed to make for the new year?",fear
1217,Rachel,"Ugh, don't even get me started. I'm so sick of everyone making these ridiculous promises they'll never keep.",disgust
1217,Chandler,"Hey, hey, hey, let's not be too harsh. It's just a list of things to work on, right?",neutral
