scene_id,speaker,text,emotion
0,Chandler,also I was the point person on my company’s transition from the KL-5 to GR-6 system.,neutral
0,The Interviewer,You must’ve had your hands full.,neutral
0,Chandler,That I did. That I did.,neutral
0,The Interviewer,So let’s talk a little bit about your duties.,neutral
0,Chandler,My duties?  All right.,surprise
0,The Interviewer,"Now you’ll be heading a whole division, so you’ll have a lot of duties.",neutral
0,Chandler,I see.,neutral
0,The Interviewer,But there’ll be perhaps 30 people under you so you can dump a certain amount on them.,neutral
0,Chandler,Good to know.,neutral
0,The Interviewer,We can go into detail,neutral
0,Chandler,No don’t I beg of you!,fear
0,The Interviewer,"All right then, we’ll have a definite answer for you on Monday, but I think I can say with some confidence, you’ll fit in well here.",neutral
0,Chandler,Really?!,surprise
0,The Interviewer,Absolutely.  You can relax,neutral
1,Joey,But then who? The waitress I went out with last month?,surprise
1,Rachel,You know? Forget it!,sadness
1,Joey,"No-no-no-no, no! Who, who were you talking about?",surprise
1,Rachel,"No, I-I-I-I don't, I actually don't know",fear
1,Joey,Ok!,neutral
1,Joey,"All right, well...",neutral
1,Rachel,"Yeah, sure!",neutral
2,Chandler,"Hey, Mon.",neutral
2,Monica,Hey-hey-hey. You wanna hear something that sucks.,neutral
2,Chandler,Do I ever.,joy
2,Monica,Chris says they’re closing down the bar.,sadness
2,Chandler,No way!,surprise
2,Monica,"Yeah, apparently they’re turning it into some kinda coffee place.",neutral
2,Chandler,Just coffee! Where are we gonna hang out now?,disgust
2,Monica,Got me.,sadness
2,Chandler,Can I get a beer.,neutral
2,Monica,"Hey, did you pick a roommate?",neutral
2,Chandler,You betcha!,joy
2,Monica,Is it the Italian guy?,neutral
2,Chandler,"Um-mm, yeah right!",joy
3,Phoebe,"Oh my God, oh my God! Poor Monica!",surprise
3,Chandler,"What, what, what?!",surprise
3,Phoebe,What?!,surprise
3,Phoebe,He was with her when he wrote this poem.,neutral
3,Phoebe,"Look,  'My vessel so empty with nothing inside.",neutral
3,Phoebe,"Now that I've touched you, you seem emptier still.'",neutral
3,Phoebe,"He thinks Monica is empty, she is the empty vase!",surprise
3,Phoebe,"Oh, totally. Oh, God, oh, she seemed so happy too.",sadness
3,Joey,Done.,neutral
4,Rachel,Hey!,surprise
4,Ross,Hi!,joy
4,Rachel,What are you doing here?,surprise
4,Ross,"Ah y'know, this building is on my paper route so I...",neutral
4,Rachel,Oh.,neutral
4,Ross,Hi.,neutral
4,Rachel,Hi.,neutral
4,Ross,How’d did it go?,neutral
4,Rachel,"Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn’t shut up.",joy
4,Ross,I’m so proud of you.,joy
4,Rachel,Me too!,joy
4,Ross,"Listen, I’m ah, I’m sorry I’ve been so crazy and jealous and, it’s just that I like you a lot, so...",sadness
4,Rachel,I know.,neutral
4,Ross,Yeah.,neutral
4,Rachel,Yeah.,neutral
5,Phoebe,Ameri-can.,neutral
5,Joey,Ameri-ccan.,neutral
5,Phoebe,Ameri-can. Y'know it’s a,neutral
5,Sergei,Everybody!!,surprise
6,Chandler,Good job Joe! Well done! Top notch!,joy
6,Joey,You liked it? You really liked it?,surprise
6,Chandler,"Oh-ho-ho, yeah!",joy
6,Joey,Which part exactly?,neutral
6,Chandler,The whole thing! Can we go?,neutral
6,Joey,"Oh no-no-no, give me some specifics.",anger
6,Chandler,"I love the specifics, the specifics were the best part!",joy
6,Joey,"Hey, what about the scene with the kangaroo? Did-did you like that part?",neutral
6,Chandler,I was surprised to see a kangaroo in a World War I epic.,surprise
6,Joey,You fell asleep!!,anger
6,Joey,There was no kangaroo!,anger
