scene_id,speaker,text,emotion
5316,Joey,"Ew, did you just eat that moldy cheese?",Disgust
5316,Chandler,"No, but why would you ever think that?",Disgust
5316,Monica,"Wait, are you planning to go to the party tomorrow?",Surprise
5316,Rachel,"Oh my god, did you guys hear about Ross's ex-girlfriend breaking up with him?",Surprise
5316,Ross,"Yeah, she left suddenly.",Neutral
5316,Phoebe,That's so unexpected. I didn't know she was that type.,Neutral
5316,Monica,"Yeah, she seemed really into him.",Neutral
5316,Chandler,"Well, maybe it's for the best.",Neutral
5316,Rachel,I feel really bad for Ross.,Sadness
5034,Rachel,"Oh my god, Ross, did you hear about that company testing their new shampoo on animals?",Disgust
5034,Monica,"Yeah, I can't believe they're still doing that! It's so unnecessary!",Disgust
5034,Chandler,"Wait, really? That's surprising! I thought they stopped that years ago.",Surprise
5034,Ross,"Well, apparently not everyone is as progressive as we are. Let's look into their practices.",Neutral
5034,Phoebe,Maybe they just need some good PR. I'm sure they'll stop soon enough.,Neutral
5034,Joey,"Oh man, that's sad. I guess we should boycott their products now.",Sadness
3336,Ross,*Sighs heavily* I just can't believe Joey brought up my ex-girlfriend's name again. *Looks visibly annoyed.*,Disgust
3336,Rachel,"Oh, come on Ross! It's not like it's a big deal. People talk about past relationships sometimes.",Neutral
3336,Ross,"*Stomps his foot slightly* No, it is a big deal! Every time he mentions her, it feels like he's rubbing salt in my wound.",Disgust
3336,Monica,"Hey guys, what's going on? Ross, why the angry face?",Neutral
3336,Ross,"*Crosses arms* Just Joey being insensitive again. I thought we moved past this, but apparently not.",Disgust
3336,Rachel,"Maybe if you talk to him about how it affects you, he'll stop.",Neutral
3336,Ross,"*Shakes head* Yeah, right. He doesn't care. He thinks it's funny to bring up old stuff.",Disgust
4565,Chandler,"Monica, what's the deal with this guy? He's like, super into his job, right? And he doesn't seem to care about anything else. It's like he's a workaholic.",Disgust
4565,Monica,"Chandler, I know he works hard, but maybe he just needs some space. It's not like he's neglecting us completely...",Disgust
4565,Joey,"I remember when Ross was like that... always working, and it killed our relationship. Maybe Monica should think twice.",Sadness
4565,Rachel,"Wait, Ross was a workaholic too? But Ross loved us so much!",Surprise
4565,Ross,"I guess every time we thought he was doing better, he fell back into the same pattern. Maybe it's time to see if this new relationship is different.",Neutral
4565,Phoebe,"Maybe Monica needs someone who appreciates her more. If this guy isn't giving her what she needs, maybe he's not the one.",Neutral
9315,Chandler,"Oh, that's just plain gross, ya schmuck!",Disgust
9315,Monica,"No way, that's totally revolting, loser!",Disgust
9315,Ross,"Well, that's not exactly pleasant, my friend...",Neutral
9315,Rachel,"Oh my gosh, that's so funny!",Joy
9315,Phoebe,"Eww, that's so gross, like, eww!",Neutral
9315,Chandler,"Yeah, whatever, no big deal, right?",Neutral
8102,Ross,"Hey, Rachel! How was your day?",Neutral
8102,Rachel,"Oh, Ross! You didn't clean up the kitchen again!",Surprise
8102,Ross,"Well, maybe I'll just leave it for the maid...",Neutral
8102,Rachel,That's not your responsibility!,Surprise
8102,Monica,"Oh, gross! Ross, you're so irresponsible!",Disgust
8102,Rachel,"Yeah, and now the maid will have to deal with it all!",Surprise
8102,Monica,This is getting out of hand. Maybe we need to hire a better maid...,Neutral
8102,Joey,"Wait, why not just do it ourselves?",Surprise
8102,Phoebe,"Oh, come on, guys. Let's just laugh it off. It's not like it's the end of the world.",Joy
9164,Rachel,"Monica, why are you always making such a big deal about nothing?",Disgust
9164,Monica,"Oh, Rachel, I didn't mean to upset you. I just care.",Sadness
9164,Chandler,"Wait, so Monica is being a diva again? This is getting old!",Anger
9164,Rachel,"Chandler, can't you see that Monica's behavior is toxic here?",Disgust
9164,Monica,"I know, I'm sorry. I really messed up.",Sadness
9164,Ross,"Hey, maybe Monica needs a new hobby, like learning to juggle! That would take her mind off things.",Joy
5847,Chandler,"Oh my God, Joey! That's like the grossest thing I've ever heard!",Disgust
5847,Monica,"Yeah, really? That's just... eww.",Disgust
5847,Ross,"Well, maybe we should focus on the meeting tomorrow. Ross and Rachel's baby shower is coming up.",Neutral
5847,Rachel,"Wait, Ross! Why do you always have to change the subject when something gross happens?",Anger
5847,Joey,"Oh come on, guys, lighten up! It was just a joke.",Neutral
5847,Phoebe,You know what? Let's talk about the baby shower instead. Ross needs all the support he can get.,Neutral
